;ordernumber;series_name;model_name;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount;price
0;106765;Basler ace;acA800-510uc;ace U;Global;Color;"1/3.6""";800;600;4,8;4,8;PYTHON 500;Box;USB 3.0;511;511;C-Mount;449
1;108722;Basler dart;daA720-520um (No-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;No-Mount;204
2;108723;Basler dart;daA720-520um (S-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209
3;108724;Basler dart;daA720-520um (CS-Mount);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209
4;108725;Basler dart;daA720-520uc (No-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;No-Mount;204
5;108726;Basler dart;daA720-520uc (S-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;S-Mount;209
6;108727;Basler dart;daA720-520uc (CS-Mount);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;USB 3.0;523;523;CS-Mount;209
7;107654;Basler ace;acA720-520um;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;USB 3.0;525;525;C-Mount;369
8;107655;Basler ace;acA720-520uc;ace U;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Box;USB 3.0;525;525;C-Mount;399
9;106748;Basler ace;acA640-750um;ace U;Global;Mono;"1/4""";640;480;4,8;4,8;PYTHON 300;Box;USB 3.0;751;751;C-Mount;409
10;106749;Basler ace;acA640-750uc;ace U;Global;Color;"1/4""";640;480;4,8;4,8;PYTHON 300;Box;USB 3.0;751;751;C-Mount;439
11;108232;Basler dart;daA1920-160uc (No-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;No-Mount;249
12;108233;Basler dart;daA1920-160uc (S-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259
13;108234;Basler dart;daA1920-160uc (CS-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259
14;108908;Basler ace 2;a2A1920-165g5mBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;5GigE;168;168;C-Mount;569
15;108909;Basler ace 2;a2A1920-165g5cBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;5GigE;168;168;C-Mount;589
16;106752;Basler ace;acA1300-200um;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;449
17;106754;Basler ace;acA1300-200uc;ace U;Global;Color;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;USB 3.0;203;203;C-Mount;479
18;107652;Basler ace;acA1440-220um;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;399
19;107653;Basler ace;acA1440-220uc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;USB 3.0;227;227;C-Mount;419
20;108728;Basler dart;daA1440-220um (No-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;No-Mount;224
21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229
22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229
23;108731;Basler dart;daA1440-220uc (No-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;No-Mount;224
24;108732;Basler dart;daA1440-220uc (S-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229
25;108733;Basler dart;daA1440-220uc (CS-Mount);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229
26;106766;Basler ace;acA800-200gm;ace U;Global;Mono;"1/3.6""";800;600;4,8;4,8;PYTHON 500;Box;GigE;240;240;C-Mount;429
27;106767;Basler ace;acA800-200gc;ace U;Global;Color;"1/3.6""";800;600;4,8;4,8;PYTHON 500;Box;GigE;240;240;C-Mount;449
28;109207;Basler dart;dmA720-290gm (Mono);;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;GigE;290;290;No-Mount;209
29;109208;Basler dart;dmA720-290gc (Color);;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Board Level;GigE;290;290;No-Mount;209
30;107650;Basler ace;acA720-290gm;ace U;Global;Mono;"1/2.9""";720;540;6,9;6,9;IMX287;Box;GigE;291;291;C-Mount;369
31;107651;Basler ace;acA720-290gc;ace U;Global;Color;"1/2.9""";720;540;6,9;6,9;IMX287;Box;GigE;291;291;C-Mount;399
32;106750;Basler ace;acA640-300gm;ace U;Global;Mono;"1/4""";640;480;4,8;4,8;PYTHON 300;Box;GigE;376;376;C-Mount;409
33;106751;Basler ace;acA640-300gc;ace U;Global;Color;"1/4""";640;480;4,8;4,8;PYTHON 300;Box;GigE;376;376;C-Mount;439
34;106764;Basler ace;acA800-510um;ace U;Global;Mono;"1/3.6""";800;600;4,8;4,8;PYTHON 500;Box;USB 3.0;511;511;C-Mount;429
35;108622;Basler dart;daA2448-70uc (No-Mount);;Global;Color;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;No-Mount;489
36;108623;Basler dart;daA2448-70uc (S-Mount);;Global;Color;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;S-Mount;499
37;108624;Basler dart;daA2448-70uc (CS-Mount);;Global;Color;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;CS-Mount;499
38;107647;Basler ace;acA1440-73gm;ace U;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;GigE;73;73;C-Mount;399
39;107649;Basler ace;acA1440-73gc;ace U;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Box;GigE;73;73;C-Mount;419
40;109205;Basler dart;dmA1440-73gm (Mono);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;GigE;73;73;No-Mount;229
41;109206;Basler dart;dmA1440-73gc (Color);;Global;Color;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;GigE;73;73;No-Mount;229
42;106755;Basler ace;acA1300-75gm;ace U;Global;Mono;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;GigE;88;88;C-Mount;449
43;106757;Basler ace;acA1300-75gc;ace U;Global;Color;"1/2""";1280;1024;4,8;4,8;PYTHON 1300;Box;GigE;88;88;C-Mount;479
44;109474;Basler ace 2;a2A2048-114umBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;349
45;109475;Basler ace 2;a2A2048-114ucBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;369
46;109476;Basler ace 2;a2A2048-114umPRO​;ace 2 R Pro;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;459
47;109477;Basler ace 2;a2A2048-114ucPRO​;ace 2 R Pro;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;USB 3.0;114;114;C-Mount;479
48;109478;Basler ace 2;a2A2048-114g5mBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;5GigE;114;114;C-Mount;579
49;109479;Basler ace 2;a2A2048-114g5cBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;5GigE;114;114;C-Mount;599
50;107739;Basler ace;acA640-121gm;ace U;Global;Mono;"1/4""";659;494;5,6;5,6;ICX618 Replacement;Box;GigE;134;134;C-Mount;339
51;107261;Basler ace;acA1920-150um;ace U;Global;Mono;"2/3""";1920;1200;4,8;4,8;PYTHON 2000;Box;USB 3.0;150;150;C-Mount;589
52;107820;Basler ace 2;a2A1920-160umBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;339
53;107821;Basler ace 2;a2A1920-160ucBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;359
54;107961;Basler ace 2;a2A1920-160umPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;449
55;107962;Basler ace 2;a2A1920-160ucPRO;ace 2 R Pro;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;USB 3.0;160;160;C-Mount;469
56;108229;Basler dart;daA1920-160um (No-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;No-Mount;249
57;108230;Basler dart;daA1920-160um (S-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259
58;108231;Basler dart;daA1920-160um (CS-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259
59;107964;Basler ace 2;a2A1920-51gcPRO;ace 2 R Pro;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;GigE;51;51;C-Mount;459
60;106680;Basler dart;daA1280-54um (No-Mount);;Global;Mono;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;No-Mount;169
61;106681;Basler dart;daA1280-54um (CS-Mount);;Global;Mono;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;CS-Mount;179
62;106682;Basler dart;daA1280-54um (S-Mount);;Global;Mono;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;S-Mount;179
63;106683;Basler dart;daA1280-54uc (No-Mount);;Global;Color;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;No-Mount;179
64;106684;Basler dart;daA1280-54uc (CS-Mount);;Global;Color;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;CS-Mount;189
65;106685;Basler dart;daA1280-54uc (S-Mount);;Global;Color;"1/3""";1280;960;3,75;3,75;AR0134;Board Level;USB 3.0;54;54;S-Mount;189
66;106953;Basler pulse;puA1280-54um;;Global;Mono;"1/3""";1280;960;3,75;3,75;AR0134;Box;USB 3.0;54;54;C-Mount;199
67;106954;Basler pulse;puA1280-54uc;;Global;Color;"1/3""";1280;960;3,75;3,75;AR0134;Box;USB 3.0;54;54;C-Mount;209
68;106980;Basler dart;daA1600-60um (No-Mount);;Global;Mono;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;No-Mount;309
69;106981;Basler dart;daA1600-60um (CS-Mount);;Global;Mono;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;CS-Mount;319
70;106982;Basler dart;daA1600-60um (S-Mount);;Global;Mono;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;S-Mount;319
71;106983;Basler dart;daA1600-60uc (No-Mount);;Global;Color;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;No-Mount;319
72;106988;Basler dart;daA1600-60uc (CS-Mount);;Global;Color;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;CS-Mount;329
73;106989;Basler dart;daA1600-60uc (S-Mount);;Global;Color;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Board Level;USB 3.0;60;60;S-Mount;329
74;106990;Basler pulse;puA1600-60um;;Global;Mono;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Box;USB 3.0;60;60;C-Mount;339
75;106991;Basler pulse;puA1600-60uc;;Global;Color;"1/1.8""";1600;1200;4,5;4,5;EV76C570;Box;USB 3.0;60;60;C-Mount;349
76;108370;Basler ace 2;a2A2600-64umBAS;ace 2 R Basic;Global;Mono;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;USB 3.0;64;64;C-Mount;479
77;108371;Basler ace 2;a2A2600-64ucBAS;ace 2 R Basic;Global;Color;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;USB 3.0;64;64;C-Mount;499
78;108372;Basler ace 2;a2A2600-64umPRO;ace 2 R Pro;Global;Mono;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;USB 3.0;64;64;C-Mount;559
79;108373;Basler ace 2;a2A2600-64ucPRO;ace 2 R Pro;Global;Color;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;USB 3.0;64;64;C-Mount;579
80;108619;Basler dart;daA2448-70um (No-Mount);;Global;Mono;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;No-Mount;489
81;108620;Basler dart;daA2448-70um (S-Mount);;Global;Mono;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;S-Mount;499
82;108621;Basler dart;daA2448-70um (CS-Mount);;Global;Mono;"1/1.8""";2448;2048;2,74;2,74;IMX548;Board Level;USB 3.0;72;72;CS-Mount;499
83;109466;Basler dart;dmA2840-14gm (Mono);;Global;Mono;"2/3""";2840;2840;2,74;2,74;IMX546;Board Level;GigE;14;14;No-Mount;589
84;109467;Basler dart;dmA2840-14gc (Color);;Global;Color;"2/3""";2840;2840;2,74;2,74;IMX546;Board Level;GigE;14;14;No-Mount;589
85;108366;Basler ace 2;a2A2600-20gmBAS;ace 2 R Basic;Global;Mono;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;GigE;20;20;C-Mount;479
86;108367;Basler ace 2;a2A2600-20gcBAS;ace 2 R Basic;Global;Color;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;GigE;20;20;C-Mount;499
87;108368;Basler ace 2;a2A2600-20gmPRO;ace 2 R Pro;Global;Mono;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;GigE;20;20;C-Mount;559
88;108369;Basler ace 2;a2A2600-20gcPRO;ace 2 R Pro;Global;Color;"1/2""";2600;2160;2,5;2,5;GMAX2505;Box;GigE;20;20;C-Mount;579
89;109468;Basler dart;dmA2448-23gm (Mono);;Global;Mono;"1/1.8""";2448;2048;2,74;2,74;IMX547;Board Level;GigE;23;23;No-Mount;459
90;109469;Basler dart;dmA2448-23gc (Color);;Global;Color;"1/1.8""";2448;2048;2,74;2,74;IMX547;Board Level;GigE;23;23;No-Mount;459
91;107214;Basler ace;acA2040-35gm;ace U;Global;Mono;"1/1.8""";2048;1536;3,45;3,45;IMX265;Box;GigE;36;36;C-Mount;529
92;107215;Basler ace;acA2040-35gc;ace U;Global;Color;"1/1.8""";2048;1536;3,45;3,45;IMX265;Box;GigE;36;36;C-Mount;559
93;109470;Basler ace 2;a2A2048-37gmBAS​;ace 2 R Basic;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;GigE;37;37;C-Mount;349
94;109471;Basler ace 2;a2A2048-37gcBAS​;ace 2 R Basic;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;GigE;37;37;C-Mount;369
95;109472;Basler ace 2;a2A2048-37gmPRO;ace 2 R Pro;Global;Mono;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;GigE;37;37;C-Mount;459
96;109473;Basler ace 2;a2A2048-37gcPRO​;ace 2 R Pro;Global;Color;1/3.1'';2048;1536;2,25;2,25;IMX900;Box;GigE;37;37;C-Mount;479
97;106909;Basler ace;acA1920-40um;ace U;Global;Mono;"1/1.2""";1920;1200;5,86;5,86;IMX249;Box;USB 3.0;41;41;C-Mount;489
98;106910;Basler ace;acA1920-40uc;ace U;Global;Color;"1/1.2""";1920;1200;5,86;5,86;IMX249;Box;USB 3.0;41;41;C-Mount;509
99;106907;Basler ace;acA1920-40gm;ace U;Global;Mono;"1/1.2""";1920;1200;5,86;5,86;IMX249;Box;GigE;42;42;C-Mount;489
100;106908;Basler ace;acA1920-40gc;ace U;Global;Color;"1/1.2""";1920;1200;5,86;5,86;IMX249;Box;GigE;42;42;C-Mount;509
101;107263;Basler ace;acA1920-48gm;ace U;Global;Mono;"2/3""";1920;1200;4,8;4,8;PYTHON 2000;Box;GigE;50;50;C-Mount;589
102;107822;Basler ace 2;a2A1920-51gmBAS;ace 2 R Basic;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;GigE;51;51;C-Mount;329
103;107823;Basler ace 2;a2A1920-51gcBAS;ace 2 R Basic;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;GigE;51;51;C-Mount;359
104;109204;Basler dart;dmA1920-51gc (Color);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;GigE;51;51;No-Mount;259
105;109209;Basler dart;dmA1920-51gm (Mono);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;GigE;51;51;No-Mount;259
106;107963;Basler ace 2;a2A1920-51gmPRO;ace 2 R Pro;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Box;GigE;51;51;C-Mount;439
107;107408;Basler ace;acA4024-8gm;ace U;Rolling;Mono;"1/1.7""";4024;3036;1,85;1,85;IMX226;Box;GigE;8;8;C-Mount;479
108;107409;Basler ace;acA4024-8gc;ace U;Rolling;Color;"1/1.7""";4024;3036;1,85;1,85;IMX226;Box;GigE;8;8;C-Mount;509
109;109492;Basler ace 2;a2A3536-9gmBAS;ace 2 R Basic;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Box;GigE;9;9;C-Mount;379
110;109493;Basler ace 2;a2A3536-9gcBAS;ace 2 R Basic;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Box;GigE;9;9;C-Mount;399
111;109494;Basler ace 2;a2A3536-9gmPRO;ace 2 R Pro;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Box;GigE;9;9;C-Mount;479
112;109495;Basler ace 2;a2A3536-9gcPRO;ace 2 R Pro;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Box;GigE;9;9;C-Mount;499
113;109498;Basler dart;dmA3536-9gm (Mono);;Rolling;Mono;1/1.6;3536;3536;2,0;2,0;IMX676;Board Level;GigE;9;9;No-Mount;299
114;109499;Basler dart;dmA3536-9gc (Color);;Rolling;Color;1/1.6;3536;3536;2,0;2,0;IMX676;Board Level;GigE;9;9;No-Mount;299
115;106702;Basler ace;acA3800-10gm;ace Classic;Rolling;Mono;"1/2.3""";3840;2748;1,67;1,67;MT9J003;Box;GigE;10;10;C-Mount;469
