;ordernumber;model_name;focal_length;mount;sensor_format;min_object_distance;price
0;None;;;;;;
1;2200002148;"Azure Lens 00202XZMUV-1 F2.8 f25mm 2/3""";25 mm;C-mount;"2/3""";155,0;1859,0
2;2200002149;"Azure Lens 00302XZMUV-1 F2.8 f35mm 2/3""";35 mm;C-mount;"2/3""";190,0;1859,0
3;2200002150;"Azure Lens 00502XZMUV-1 F2.8 f50mm 2/3""";50 mm;C-mount;"2/3""";200,0;1859,0
4;2200002151;"Azure Lens 00752XZMUV-1 F2.8 f75mm 2/3""";75 mm;C-mount;"2/3""";200,0;1859,0
5;2000034830;Basler Lens C125-0418-5M f4mm;4 mm;C-mount;"1/2,5""";100,0;139,0
6;2000034831;Basler Lens C125-0618-5M f6mm;6 mm;C-mount;"1/2,5""";100,0;139,0
7;2000034832;Basler Lens C125-0818-5M f8mm;8 mm;C-mount;"1/2,5""";100,0;139,0
8;2200000568;Basler Lens C23-0824-5M f8mm;8 mm;C-mount;"2/3""";100,0;106,0
9;2200002368;Basler Lens C23-0828-16M f8mm;8 mm;C-mount;"2/3""";100,0;239,0
10;2200000574;Basler Lens C11-0824-12M f8.5mm;8.5 mm;C-mount;"1,1""";100,0;259,0
11;2200000178;Basler Lens C23-0816-2M f8mm;8.6 mm;C-mount;"2/3""";250,0;74,0
12;2000034833;Basler Lens C125-1218-5M f12mm;12 mm;C-mount;"1/2,5""";200,0;139,0
13;2200000569;Basler Lens C23-1224-5M f12mm;12 mm;C-mount;"2/3""";100,0;106,0
14;2200000575;Basler Lens C11-1220-12M f12mm;12 mm;C-mount;"1,1""";100,0;259,0
15;2200002369;Basler Lens C23-1228-16M f12mm;12 mm;C-mount;"2/3""";100,0;239,0
16;2200001661;Basler Lens C12-1224-25M;12 mm;C-mount;"1,2""";;299,0
17;2200000179;Basler Lens C23-1216-2M f12mm;12 mm;C-mount;"2/3""";100,0;74,0
18;2000034834;Basler Lens C125-1620-5M f16mm;16 mm;C-mount;"1/2,5""";200,0;139,0
19;2200000570;Basler Lens C23-1620-5M f16mm;16 mm;C-mount;"2/3""";200,0;106,0
20;2200000576;Basler Lens C11-1620-12M f16mm;16 mm;C-mount;"1,1""";100,0;259,0
21;2200002370;Basler Lens C23-1628-16M f16mm;16 mm;C-mount;"2/3""";100,0;
22;2200001662;Basler Lens C12-1624-25M;16 mm;C-mount;"1,2""";;299,0
23;2200000180;Basler Lens C23-1616-2M f16mm;16 mm;C-mount;"2/3""";200,0;74,0
24;2000034835;Basler Lens C125-2522-5M f25mm;25 mm;C-mount;"1/2,5""";200,0;139,0
25;2200000571;Basler Lens C23-2518-5M f25mm;25 mm;C-mount;"2/3""";200,0;106,0
26;2200000577;Basler Lens C11-2520-12M f25mm;25 mm;C-mount;"1,1""";100,0;259,0
27;2200002371;Basler Lens C23-2528-16M f25mm;25 mm;C-mount;"2/3""";100,0;239,0
28;2200001663;Basler Lens C12-2524-25M;25 mm;C-mount;"1,2""";150,0;299,0
29;2200000181;Basler Lens C23-2518-2M f25mm;25 mm;C-mount;"2/3""";300,0;74,0
30;2200001070;Basler Lens F-S35-3528-45M-S-SD f35mm;35 mm;F-mount;super 35 mm;200,0;699,0
31;2200000572;Basler Lens C23-3520-5M f35mm;35 mm;C-mount;"2/3""";200,0;106,0
32;2200000578;Basler Lens C11-3520-12M f35mm;35 mm;C-mount;"1,1""";150,0;259,0
33;2200002372;Basler Lens C23-3528-16M f35mm;35 mm;C-mount;"2/3""";150,0;239,0
34;2200001664;Basler Lens C12-3524-25M;35 mm;C-mount;"1,2""";150,0;299,0
35;2200000182;Basler Lens C23-3520-2M f35mm;35 mm;C-mount;"2/3""";350,0;74,0
36;2200001071;Basler Lens F-S35-5028-45M-S-SD f50mm;50 mm;F-mount;super 35 mm;220,0;699,0
37;2200000573;Basler Lens C23-5028-5M f50mm;50 mm;C-mount;"2/3""";400,0;106,0
38;2200000579;Basler Lens C11-5020-12M f50mm;50 mm;C-mount;"1,1""";200,0;259,0
39;2200002373;Basler Lens C23-5028-16M f50mm;50 mm;C-mount;"2/3""";200,0;239,0
40;2200001665;Basler Lens C12-5024-25M;50 mm;C-mount;"1,2""";200,0;299,0
41;2200000183;Basler Lens C23-5026-2M f50mm;50 mm;C-mount;"2/3""";300,0;74,0
42;2200001072;Basler Lens F-S35-7528-45M-S-SD f75mm;75 mm;F-mount;super 35 mm;340,0;699,0
43;2200002374;Basler Lens C23-7538-16M f75mm;75 mm;C-mount;"2/3""";250,0;239,0
44;2200001540;"Computar Lens H0514-VSW F1.4 f5mm 1/2""";5 mm;C-mount;"1/2""";100,0;999,0
45;2200001541;"Computar Lens M0814-VSW F1.4 f8mm 2/3""";8 mm;C-mount;"2/3""";100,0;899,0
46;2200001547;"Computar Lens M0818-APVSW2 F1.8 f8mm 2/3""";8 mm;C-mount;"2/3""";100,0;3499,0
47;2000034697;"Computar Lens M0814-MP2 F1.4 f8mm 2/3""";8 mm;C-mount;"2/3""";100,0;139,0
48;2200001542;"Computar Lens M1214-VSW F1.4 f12mm 2/3""";12 mm;C-mount;"2/3""";150,0;899,0
49;2200001548;"Computar Lens M1218-APVSW2 F1.8 12mm 2/3""";12 mm;C-mount;"2/3""";100,0;3499,0
50;2000034698;"Computar Lens M1214-MP2 F1.4 f12mm 2/3""";12 mm;C-mount;"2/3""";150,0;139,0
51;2200001543;"Computar Lens M1614-VSW F1.4 f16mm 2/3""";16 mm;C-mount;"2/3""";300,0;899,0
52;2200001549;"Computar Lens M1618-APVSW2 F1.8 f16mm 2/3""";16 mm;C-mount;"2/3""";100,0;3499,0
53;2000034699;"Computar Lens M1614-MP2 F1.4 f16mm 2/3""";16 mm;C-mount;"2/3""";300,0;129,0
54;2200001544;"Computar Lens M2514-VSW F1.4 f25mm 2/3""";25 mm;C-mount;"2/3""";300,0;899,0
55;2200001550;"Computar Lens M2518-APVSW2 F1.8 f25mm 2/3""";25 mm;C-mount;"2/3""";100,0;3499,0
56;2000034700;"Computar Lens M2514-MP2 F1.4 f25mm 2/3""";25 mm;C-mount;"2/3""";300,0;107,0
57;2200001545;"Computar Lens M3514-VSW F1.4 f35mm 2/3""";35 mm;C-mount;"2/3""";300,0;899,0
58;2000034701;"Computar Lens M3514-MP F1.4 f35mm 2/3""";35 mm;C-mount;"2/3""";300,0;179,0
59;2200001546;"Computar Lens M5018-VSW F1.8 f50mm 2/3""";50 mm;C-mount;"2/3""";500,0;899,0
60;2000034702;"Computar Lens M5018-MP2 F1.8 f50mm 2/3""";50 mm;C-mount;"2/3""";500,0;129,0
61;2000034703;"Computar Lens M7528-MP F2.8 f75mm 2/3""";75 mm;C-mount;"2/3""";300,0;189,0
62;2000035065;"Edmund Optics Lens CFFL F1.3 f8.5mm 2/3""";8.5 mm;C-mount;"2/3""";100,0;329,0
63;2000035066;"Edmund Optics Lens CFFL F1.8 f12mm 2/3""";12 mm;C-mount;"2/3""";200,0;329,0
64;2000035067;"Edmund Optics Lens CFFL F1.4 f16mm 2/3""";16 mm;C-mount;"2/3""";100,0;329,0
65;2000035068;"Edmund Optics Lens CFFL F1.4 f25mm 2/3""";25 mm;C-mount;"2/3""";100,0;329,0
66;2000035069;"Edmund Optics Lens CFFL F1.7 f35mm 2/3""";35 mm;C-mount;"2/3""";165,0;329,0
67;2000035070;"Edmund Optics Lens CFFL F2.0 f50mm 2/3""";50 mm;C-mount;"2/3""";250,0;439,0
68;2000036060;"Evetar Lens M13B02118IR F1.8 f2.1mm 1/3""";2.1 mm;S-mount;"1/3""";100,0;27,0
