;Unnamed: 0_cam;ordernumber_cam;series_name;model_name_cam;product_line;shutter;monocolor;sensor_optical_size;resolution_horizontal;resolution_vertical;pixel_size_horizontal;pixel_size_vertical;sensor_name;housing_name;interface;sensor_framerate_min;sensor_framerate_max;mount_cam;price_cam;Unnamed: 0_lens;ordernumber_lens;model_name_lens;focal_length;mount_lens;sensor_format;min_object_distance;price_lens;total_price;max_fov_h;max_fov_v;resolution_mm;fps_score;d_score;res_score;price_score;best_d;best_res;best_fps;score
1917;12;108233;Basler dart;daA1920-160uc (S-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
1918;12;108233;Basler dart;daA1920-160uc (S-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
2071;13;108234;Basler dart;daA1920-160uc (CS-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
2072;13;108234;Basler dart;daA1920-160uc (CS-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
8847;57;108230;Basler dart;daA1920-160um (S-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
8848;57;108230;Basler dart;daA1920-160um (S-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
9001;58;108231;Basler dart;daA1920-160um (CS-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
9002;58;108231;Basler dart;daA1920-160um (CS-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;292,0;3974,4;2484,0;2,07;3,0;4,0;4,0;3,0;600,0;0,828;187,5169;40,0
1921;12;108233;Basler dart;daA1920-160uc (S-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;310,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
2075;13;108234;Basler dart;daA1920-160uc (CS-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;310,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
8851;57;108230;Basler dart;daA1920-160um (S-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;310,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
9005;58;108231;Basler dart;daA1920-160um (CS-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;74;2000036382,0;"Evetar Lens M118B029528IR F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;51,0;310,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
1922;12;108233;Basler dart;daA1920-160uc (S-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;312,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
2076;13;108234;Basler dart;daA1920-160uc (CS-Mount);;Global;Color;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;312,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
8852;57;108230;Basler dart;daA1920-160um (S-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;S-Mount;259;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;312,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
9006;58;108231;Basler dart;daA1920-160um (CS-Mount);;Global;Mono;"1/2.3""";1920;1200;3,45;3,45;IMX392;Board Level;USB 3.0;160;160;CS-Mount;259;75;2000036383,0;"Evetar Lens M118B029528W F2.8 f2.95mm 1/1.8""";3,0;S-mount;"1/1,8""";300,0;53,0;312,0;3312,0;2070,0;1,725;2,0;4,0;4,0;3,0;600,0;0,69;167,4203;39,0
3303;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;262,0;2980,8;2235,6;2,07;4,0;3,0;4,0;3,0;650,0;0,897;262,3842;38,0
3304;21;108729;Basler dart;daA1440-220um (S-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;S-Mount;229;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;262,0;2980,8;2235,6;2,07;4,0;3,0;4,0;3,0;650,0;0,897;262,3842;38,0
3457;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;70;2200001056,0;"Evetar Lens E3417A F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;262,0;2980,8;2235,6;2,07;4,0;3,0;4,0;3,0;650,0;0,897;262,3842;38,0
3458;22;108730;Basler dart;daA1440-220um (CS-Mount);;Global;Mono;"1/2.9""";1440;1080;3,45;3,45;IMX273;Board Level;USB 3.0;227;227;CS-Mount;229;71;2200001057,0;"Evetar Lens E3417C IR-Cut F2.4 f2.5mm 1/1.8""";2,5;S-mount;"1/1,8""";300,0;33,0;262,0;2980,8;2235,6;2,07;4,0;3,0;4,0;3,0;650,0;0,897;262,3842;38,0
